iter	Passed	Remaining
792	1227	320
793	1228	318
794	1230	317
795	1231	315
796	1232	313
797	1233	312
798	1234	310
799	1236	309
800	1237	307
801	1238	305
802	1239	304
803	1240	302
804	1242	300
805	1243	299
806	1245	297
807	1246	296
808	1248	294
809	1249	293
810	1250	291
811	1251	289
812	1253	288
813	1254	286
814	1255	284
815	1256	283
816	1257	281
817	1259	280
818	1260	278
819	1262	277
820	1263	275
821	1264	273
822	1265	272
823	1266	270
824	1267	268
825	1268	267
826	1269	265
827	1270	264
828	1272	262
829	1273	260
830	1274	259
831	1275	257
832	1276	256
833	1278	254
834	1279	252
835	1280	251
836	1281	249
837	1282	247
838	1283	246
839	1284	244
840	1285	243
841	1286	241
842	1287	239
843	1289	238
844	1290	236
845	1291	235
846	1292	233
847	1293	231
848	1294	230
849	1295	228
850	1296	227
851	1297	225
852	1298	223
853	1300	222
854	1301	220
855	1302	219
856	1303	217
857	1305	216
858	1306	214
859	1307	212
860	1308	211
861	1309	209
862	1310	208
863	1311	206
864	1313	204
865	1314	203
866	1315	201
867	1316	200
868	1317	198
869	1318	197
870	1319	195
871	1320	193
872	1321	192
873	1322	190
874	1323	189
875	1324	187
876	1326	185
877	1327	184
878	1328	182
879	1329	181
880	1330	179
881	1331	178
882	1332	176
883	1333	174
884	1334	173
885	1336	171
886	1337	170
887	1338	168
888	1339	167
889	1340	165
890	1341	164
891	1342	162
892	1343	160
893	1344	159
894	1345	157
895	1346	156
896	1347	154
897	1348	153
898	1349	151
899	1351	150
900	1352	148
901	1353	147
902	1354	145
903	1355	143
904	1356	142
905	1357	140
906	1358	139
907	1359	137
908	1360	136
909	1361	134
910	1362	133
911	1364	131
912	1365	130
913	1366	128
914	1367	127
915	1368	125
916	1369	123
917	1370	122
918	1371	120
919	1372	119
920	1374	117
921	1375	116
922	1376	114
923	1377	113
924	1378	111
925	1379	110
926	1380	108
927	1381	107
928	1382	105
929	1384	104
930	1385	102
931	1386	101
932	1387	99
933	1388	98
934	1389	96
935	1390	95
936	1391	93
937	1392	92
938	1393	90
939	1394	89
940	1395	87
941	1396	85
942	1397	84
943	1398	82
944	1399	81
945	1400	79
946	1401	78
947	1402	76
948	1403	75
949	1404	73
950	1406	72
951	1407	70
952	1408	69
953	1409	67
954	1410	66
955	1411	64
956	1412	63
957	1413	61
958	1414	60
959	1415	58
960	1416	57
961	1417	55
962	1418	54
963	1419	53
964	1420	51
965	1421	50
966	1422	48
967	1423	47
968	1424	45
969	1426	44
970	1427	42
971	1428	41
972	1429	39
973	1430	38
974	1431	36
975	1432	35
976	1433	33
977	1434	32
978	1435	30
979	1436	29
980	1437	27
981	1438	26
982	1439	24
983	1440	23
984	1442	21
985	1443	20
986	1445	19
987	1446	17
988	1447	16
989	1448	14
990	1449	13
991	1450	11
992	1451	10
993	1452	8
994	1453	7
995	1454	5
996	1455	4
997	1456	2
998	1458	1
999	1459	0
